SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (5+ Unit),801 Fillmore St,San Francisco,CA,94117,13660000,18,,Alamo Square,24373,6495,1926,11,560,,Active,,,http://www.redfin.com/CA/San-Francisco/801-Fillmore-St-94117/home/580196,San Francisco MLS,477950,N,Y,37.7769043,-122.4317244
MLS Listing,,Multi-Family (5+ Unit),1750 Greenwich St,San Francisco,CA,94123,9999000,13,,Cow Hollow,12195,9452,1925,11,820,,Active,,,http://www.redfin.com/CA/San-Francisco/1750-Greenwich-St-94123/home/561602,San Francisco MLS,477952,N,Y,37.8000007,-122.4284558
MLS Listing,,Condo/Co-op,725 Pine St #202,SAN FRANCISCO,CA,94108,515000,0,1,SAN FRANCISCO,313,5000,1920,11,1645,533,Active,November-3-2018 01:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/725-Pine-St-94108/unit-202/home/17306114,MLSListings,ML81728162,N,Y,37.7910138,-122.4076967
MLS Listing,,Townhouse,186 Francisco St #4,San Francisco,CA,94133,3725000,3,3.5,Telegraph Hill,,,1988,11,,2361,Active,November-3-2018 01:30 PM,November-3-2018 03:30 PM,http://www.redfin.com/CA/San-Francisco/186-Francisco-St-94133/unit-4/home/1126016,San Francisco MLS,477152,N,Y,37.805549,-122.408336
MLS Listing,,Single Family Residential,4335 Cesar Chavez St,San Francisco,CA,94131,2299000,4,3.5,Noe Valley,2373,3135,1914,11,969,,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/4335-Cesar-Chavez-94131/home/800399,San Francisco MLS,477895,N,Y,37.7470431,-122.4367341
MLS Listing,,Single Family Residential,53 Rockaway Ave,San Francisco,CA,94127,1846000,3,3,Forest Hill Extension,1768,,1941,11,1044,,Active,November-3-2018 02:00 PM,November-3-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/53-Rockaway-Ave-94127/home/1183545,San Francisco MLS,477893,N,Y,37.7434585,-122.4577594
MLS Listing,,Multi-Family (5+ Unit),2908 California St,San Francisco,CA,94115,7250000,19,,Pacific Heights,10893,5223,1927,11,666,,Active,,,http://www.redfin.com/CA/San-Francisco/2908-California-St-94115/home/589295,San Francisco MLS,477900,N,Y,37.7880806,-122.4425437
MLS Listing,,Condo/Co-op,355 Bryant St #209,San Francisco,CA,94107,1495000,1,1.5,South Beach,1551,,,11,964,628,Active,November-4-2018 02:00 PM,November-4-2018 04:00 PM,http://www.redfin.com/CA/San-Francisco/355-Bryant-St-94107/unit-209/home/12396202,San Francisco MLS,477941,N,Y,37.7835506,-122.3924215
MLS Listing,,Single Family Residential,75 Montcalm St,SAN FRANCISCO,CA,94110,1098000,3,2,SAN FRANCISCO,1737,2792,1906,11,632,,Active,,,http://www.redfin.com/CA/San-Francisco/75-Montcalm-St-94110/home/756570,MLSListings,ML81728516,N,Y,37.7469807,-122.405776
MLS Listing,,Condo/Co-op,1019 Guerrero St,San Francisco,CA,94110,1495000,2,1.5,Noe Valley,,,,11,,443,Active,November-3-2018 12:00 PM,November-3-2018 02:00 PM,http://www.redfin.com/CA/San-Francisco/1019-Guerrero-St-94110/home/11893120,San Francisco MLS,477899,N,Y,37.7545176,-122.4229104
MLS Listing,,Condo/Co-op,748 North Point St #2,San Francisco,CA,94109,1695000,3,2,Russian Hill,,,2000,11,,525,Active,,,http://www.redfin.com/CA/San-Francisco/748-N-Point-St-94109/unit-2/home/1373136,San Francisco MLS,477940,N,Y,37.80613,-122.419408
MLS Listing,,Condo/Co-op,280 Waller St,San Francisco,CA,94102,1795000,3,2.5,Hayes Valley,1999,,,11,898,350,Active,,,http://www.redfin.com/CA/San-Francisco/280-Waller-St-94102/home/39910700,San Francisco MLS,476526,N,Y,37.7716459,-122.428284
